title,parenttask,maxxp
C1_SimpleBashUtils,,350
C2_s21_string+,C1_SimpleBashUtils,500
C3_s21_math,C1_SimpleBashUtils,300
C4_s21_decimal,C2_s21_string+,340
C5_s21_matrix,C4_s21_decimal,200
C6_SmartCalc_v1.0,C5_s21_matrix,500
C7_3DViewer_v1.0,C6_SmartCalc_v1.0,750
DO1_Linux,C2_s21_string+,300
DO2_LinuxNetwork,DO1_Linux,300
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,300
CPP1_s21_matrix+,C7_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
